Irn,SellerGstin,BuyerGstin,DocNo,DocDt,AssAmt,IgstAmt,TotalVal
1e921166461c431eb09c8a97780baa51,15ABCDE5767F1Z195,35ABCDE5420F1Z38,INV-1346,2023-11-15,123360.66,22204.92,145565.58000000002
71bbb74c8a2e441e86cd13af8ae406da,28ABCDE6266F1Z1029,16ABCDE2783F1Z11,INV-1420,2023-04-17,439780.6,79160.51,518941.11
ce40f917ef854eaaa9929fcc7ef17b9b,23ABCDE2626F1Z69,33ABCDE6274F1Z1,INV-1460,2023-04-02,141772.62,25519.07,167291.69
e08761f3a6ce4cf59c5c8ba32b6583f9,35ABCDE7124F1Z290,27ABCDE6371F1Z47,INV-1462,2023-04-21,377614.35,67970.58,445584.93
f92c505f78254542b3fb3ff54104181c,33ABCDE5749F1Z1118,35ABCDE4671F1Z18,INV-1502,2023-12-15,347369.92,62526.59,409896.51
3a33dc81d06e41ec9a24c4af96bd3d06,24ABCDE4610F1Z462,12ABCDE9263F1Z12,INV-1528,2023-05-06,426343.77,76741.88,503085.65
4bb75836cfb440fbb8b766626056ae0b,33ABCDE4255F1Z237,33ABCDE6274F1Z1,INV-1563,2023-11-28,480218.83,86439.39,566658.22
4f3234480f9d46adb6414f2f861eb014,19ABCDE2666F1Z1003,27ABCDE6878F1Z44,INV-1640,2023-09-20,175467.18,31584.09,207051.27
58d02bf47167460d852cedd16f0fbb7e,13ABCDE3488F1Z63,26ABCDE4287F1Z21,INV-1645,2023-10-12,87837.9,15810.82,103648.72
d4dbbb3b3f144fa0a0ed23440397fcd1,19ABCDE6081F1Z546,27ABCDE2814F1Z6,INV-1662,2023-09-10,220329.82,39659.37,259989.19
45bffe0ca8624090992bf4905b397315,13ABCDE3199F1Z27,13ABCDE1278F1Z36,INV-1696,2023-04-04,447417.17,80535.09,527952.26
5c39f43a36ca4a82afaa1211c9f71abb,27ABCDE5718F1Z391,20ABCDE8432F1Z5,INV-1742,2024-01-23,61861.5,11135.07,72996.57
47214bf2281e4b80a540b9dedd9ace17,23ABCDE1864F1Z422,33ABCDE3742F1Z33,INV-1763,2023-12-25,333310.6,59995.91,393306.51
39406016ec464171865827c300113e61,28ABCDE2086F1Z614,25ABCDE8939F1Z26,INV-1842,2023-11-19,159596.72,28727.41,188324.13
32f8da3fef19419885d6a54f4cbfb028,10ABCDE2632F1Z250,30ABCDE7513F1Z15,INV-1844,2023-05-02,66421.58,11955.88,78377.46
9d2b0240ae7545278fb8154e0323d715,07BBBBB5182B1Z488,12ABCDE9263F1Z12,INV-1972,2023-06-01,219779.92,39558.59,259328.51
74d63f5c26d1442f820d9b0067c97c89,25ABCDE4204F1Z1082,21ABCDE9896F1Z45,INV-1983,2023-07-15,447478.77,80546.18,528024.95
cbc8096e745a452ea36f3e491871cec6,25ABCDE8899F1Z1149,33ABCDE6704F1Z39,INV-2019,2024-01-24,410386.16,73869.51,484255.67
9bd36e8c6fc24e00a179685c88cfe204,36ABCDE4441F1Z1147,20ABCDE8432F1Z5,INV-2041,2023-08-17,159445.94,28700.27,188146.21
244c8a9da271496989c95b3cdffa6a99,18ABCDE5109F1Z1161,33ABCDE2626F1Z49,INV-2073,2023-10-12,337795.21,60803.14,398598.35000000003
bd8d8df4f50049f580c8ea66147f3e6a,10ABCDE2230F1Z259,25ABCDE8939F1Z26,INV-2165,2023-11-18,68023.72,12244.27,80267.99
1fd121c1d13546759fa4dfd88fc1ed9b,26ABCDE1062F1Z1116,35ABCDE4671F1Z18,INV-2167,2023-09-19,81849.83,14732.97,96582.8
c29d37d95f814a8c865b0dc9bdbc7beb,36ABCDE9385F1Z867,26ABCDE4287F1Z21,INV-2172,2023-07-19,364476.6,65605.79,430082.38999999996
68ca401541e44ff8841cab2e8cade42d,19ABCDE7623F1Z974,17ABCDE6687F1Z19,INV-2243,2023-12-23,65303.43,11752.82,77046.25
e51aa87576704787a9f54d8363e65c5f,29ABCDE5237F1Z1145,16ABCDE2783F1Z11,INV-2258,2023-06-02,373233.86,67182.09,440415.94999999995
271b64fb2a4e4c21bc188348dbe3872d,27ABCDE7203F1Z715,35ABCDE6794F1Z24,INV-2276,2023-07-05,272703.81,49086.69,321790.5
4dcc14095214415d9efcf3d41427aa3f,20ABCDE4702F1Z513,33ABCDE2626F1Z49,INV-2280,2023-05-02,363990.96,65516.57,429497.53
7ca51171f226417c9c89e90b1c55f38a,30ABCDE4266F1Z130,35ABCDE4671F1Z18,INV-2316,2023-08-19,325605.62,58609.01,384214.63
1521bae226314939bd646116f5ec6f81,28ABCDE4249F1Z191,31ABCDE7167F1Z32,INV-2326,2023-08-01,272069.13,48970.64,321029.77
60e8e5fce70848a2bb2b25f360bfabb3,07BBBBB7380B1Z76,20ABCDE8432F1Z5,INV-2334,2023-08-02,308168.01,55470.24,363638.25
5d4d90e8cc2a4b029b61675574be9a25,16ABCDE7568F1Z634,25ABCDE1216F1Z7,INV-2352,2023-11-11,363968.43,65514.32,429482.75
8cb06bbc3925416ca05116eae69d9775,13ABCDE5880F1Z1172,27ABCDE6371F1Z47,INV-2353,2023-06-05,365921.98,65865.96,431787.94
4a0a3d51dd764efb9838351737a6e2b9,28ABCDE3737F1Z608,12ABCDE2824F1Z29,INV-2378,2023-04-14,106069.33,19092.48,125161.81
f851ea1634d94936b59e748213a58104,16ABCDE4040F1Z912,19ABCDE2700F1Z42,MISSPELLED-123,2023-07-08,143766.79,25878.02,169644.81
0193bd774ff340689b8547ff7822d3dc,35ABCDE5639F1Z765,33ABCDE6274F1Z1,INV-2452,2023-06-06,63887.3,11499.71,75387.01000000001
05d4aec271704cc29231b70fced2479a,36ABCDE7356F1Z716,23ABCDE9697F1Z23,INV-2473,2023-10-01,110450.75,19881.13,130331.88
e82e8036d57040b9813a139156d690fa,13ABCDE2701F1Z553,25ABCDE8939F1Z26,INV-2581,2023-10-03,236978.12,42656.06,279634.18
9a11d8e45105421f8a19e2d160a3aacb,19ABCDE3312F1Z193,22ABCDE6648F1Z3,MISSPELLED-123,2023-11-02,334548.88,60218.8,394767.68
a5fa79e64fed413fbe3490ea9124fe18,23ABCDE9228F1Z1094,35ABCDE6794F1Z24,INV-2673,2024-01-11,297054.91,53469.88,350524.79
d62e6a88a90a43f7ba4e404ae4e7ddcc,35ABCDE4671F1Z18,19ABCDE2700F1Z42,INV-2711,2023-04-26,106291.97,19132.55,125424.52
b5cb715efb7248bdad2e0416a9380c69,23ABCDE2439F1Z228,20ABCDE9440F1Z34,INV-2712,2023-08-04,424763.44,76457.42,501220.86
fd82eb077b5740f58e425f06e50bf3a2,25ABCDE8234F1Z1101,29ABCDE3989F1Z31,INV-2729,2023-07-19,479826.55,86368.78,566195.33
20032c2bad684707bbcc315b3569fda6,07BBBBB3013B1Z298,11ABCDE5920F1Z25,INV-2765,2023-06-21,142151.16,25587.21,167738.37
d94d5bc26eaa4eac8725f6c5075f9415,33ABCDE5912F1Z241,17ABCDE6687F1Z19,INV-2797,2023-04-11,225074.87,40513.48,265588.35
1aea40a96ceb40678557a9939b4f0b2c,07BBBBB2647B1Z69,29ABCDE7299F1Z30,INV-2830,2023-08-29,170612.15,30710.19,201322.34
e4c505e4b4884aaf809dee55c25d8578,26ABCDE1891F1Z14,36ABCDE7412F1Z22,INV-2880,2023-08-28,99266.02,17867.88,117133.90000000001
d3735ecbe89f4239858e801e42ffbf84,21ABCDE1042F1Z1086,27ABCDE2814F1Z6,INV-2914,2023-12-04,363238.71,65382.97,428621.68000000005
3ab1da3334c24013845f2de11c4bc4ff,13ABCDE9667F1Z756,35ABCDE6794F1Z24,INV-2963,2023-05-15,344872.7,62077.09,406949.79000000004
44b1dcca9393454d9b82121cd93231c4,23ABCDE8791F1Z238,11ABCDE9399F1Z46,INV-3030,2023-08-07,118378.24,21308.08,139686.32
8b11d3ddb44e4cf293eb65874f14f32e,16ABCDE1567F1Z528,14ABCDE4898F1Z43,INV-3055,2024-01-21,142740.59,25693.31,168433.9
6e1e0d77b3e44cd5bc62dea40753f3bd,28ABCDE6130F1Z306,11ABCDE9399F1Z46,INV-3089,2023-07-09,123170.09,22170.62,145340.71
579844ead267478aa9eb6aa6117db305,31ABCDE1856F1Z460,18ABCDE3334F1Z13,INV-3105,2023-08-11,497917.28,89625.11,587542.39
bd466e6427b34efc80405e00fdb328d9,20ABCDE4362F1Z821,29ABCDE3989F1Z31,INV-3170,2023-05-20,251405.75,45253.03,296658.78
b1aeba8dc9144dfeb6ba0b15bd2f5630,20ABCDE7829F1Z1112,27ABCDE6371F1Z47,INV-3174,2023-08-12,458918.24,82605.28,541523.52
9a08af6c2ba8403c9da24b70005b97c3,35ABCDE5529F1Z877,33ABCDE2626F1Z49,INV-3177,2023-08-26,65679.97,11822.39,77502.36
86147885f6e44c468feac100edbddd7f,07BBBBB2367B1Z463,13ABCDE1278F1Z36,INV-3213,2023-12-05,493004.82,88740.87,581745.69
fe37a24877574959bbfe6620c921fb8e,27ABCDE7919F1Z812,20ABCDE8432F1Z5,INV-3223,2023-06-18,404535.95,72816.47,477352.42000000004
5f6057ce712b4a6aba70d8bed4f8ea37,30ABCDE8830F1Z1000,33ABCDE6704F1Z39,INV-3408,2023-12-10,489470.57,88104.7,577575.27
53d5e2caf32646178bc3ac85d8abb477,35ABCDE7753F1Z809,12ABCDE2824F1Z29,INV-3418,2024-01-23,50996.31,9179.34,60175.649999999994
48dc602fae4f46df874981ad2b30c3c8,23ABCDE2626F1Z69,35ABCDE6794F1Z24,INV-3429,2023-10-28,336411.84,60554.13,396965.97000000003
400ec9e15cce4389ad441e8a7a4b8e6b,32ABCDE7818F1Z994,29ABCDE1885F1Z37,INV-3436,2023-06-01,352433.36,63438.0,415871.36
cc2970818fd44e98950c0d4aba1bd4b6,23ABCDE6617F1Z1175,14ABCDE4898F1Z43,INV-3451,2023-06-28,81706.33,14707.14,96413.47
5ac1d1a2000c41f1813da0fb62f84757,19ABCDE7173F1Z143,35ABCDE6794F1Z24,INV-3472,2023-12-06,359924.47,64786.4,424710.87
7651363f5a794f9489da206cbe0efdbc,30ABCDE5381F1Z784,35ABCDE6794F1Z24,MISSPELLED-123,2023-12-15,389711.98,70148.16,459860.14
613b73319e9845a9afb54547f4efabd3,29ABCDE5589F1Z999,32ABCDE7693F1Z8,INV-3529,2024-01-25,231721.45,41709.86,273431.31
6a5079a9713148a88c47e0922ffc60a2,19ABCDE4250F1Z673,26ABCDE1891F1Z14,INV-3539,2023-04-02,411603.26,74088.59,485691.85
7d561f8be06e4231bc21d2220b0af522,34ABCDE2531F1Z501,23ABCDE9697F1Z23,INV-3560,2023-07-20,256442.39,46159.63,302602.02
47ea1a10219a4cfe8d0769c014f67129,34ABCDE7901F1Z854,13ABCDE3199F1Z27,INV-3594,2023-07-29,273191.75,49174.51,322366.26
9c7a7415105a45d69370d626b6da8258,19ABCDE1403F1Z120,14ABCDE8703F1Z4,INV-3620,2023-12-19,449606.5,80929.17,530535.67
2dc9958bada7472e9dca3cab593f685e,16ABCDE5248F1Z978,35ABCDE4671F1Z18,INV-3653,2023-07-25,468768.2,84378.28,553146.48
bc7a05ccef0540f0b0c92b3bb027b46b,35ABCDE7011F1Z601,27ABCDE6371F1Z47,INV-3693,2024-01-08,228122.27,41062.01,269184.27999999997
8e45520ee1a542b085f9ac6da1248b19,28ABCDE2013F1Z223,31ABCDE7167F1Z32,INV-3701,2023-10-17,103645.63,18656.21,122301.84
27a8024d9ba94af0b2487379c901bf1e,28ABCDE2086F1Z614,35ABCDE6794F1Z24,INV-3712,2023-10-06,437132.64,78683.88,515816.52
206e4962bced4603adb7350899fa64a7,26ABCDE7536F1Z425,33ABCDE3742F1Z33,INV-3749,2023-08-27,410159.43,73828.7,483988.13
12ddc1f9e3d94baabd29a7f3176b3aba,32ABCDE7693F1Z8,33ABCDE2626F1Z49,INV-3762,2023-04-24,166253.19,29925.57,196178.76
3718536c57e04b08882df7da6ef66145,07BBBBB8823B1Z287,17ABCDE6687F1Z19,INV-3812,2023-12-17,496798.31,89423.7,586222.01
d8de3ef340f24bdcb2000c9db1754d9f,31ABCDE6203F1Z973,25ABCDE1216F1Z7,INV-3825,2023-11-23,241906.9,43543.24,285450.14
a0c9eef7f86c4e269d5ab320a69b8be5,24ABCDE7103F1Z533,20ABCDE8432F1Z5,INV-3833,2023-09-05,368549.5,66338.91,434888.41000000003
fb06730d55d246699db90844ca8ae45b,11ABCDE2304F1Z864,31ABCDE7167F1Z32,INV-3968,2023-06-29,462454.95,83241.89,545696.84
573436ef9e784ce58460b22da1893d02,10ABCDE2230F1Z259,12ABCDE5551F1Z35,INV-4022,2023-06-21,292128.43,52583.12,344711.55
e72c95aa8ae24192bfb429e8df5ee86b,29ABCDE9226F1Z229,12ABCDE2824F1Z29,INV-4053,2023-06-19,238144.95,42866.09,281011.04000000004
61f97d8a5f2944749207ce51c421ed75,26ABCDE6753F1Z858,26ABCDE4287F1Z21,INV-4057,2023-05-20,331613.19,59690.37,391303.56
2b201b7f45d6407a9eed9def6dd62485,11ABCDE9454F1Z335,27ABCDE2814F1Z6,INV-4067,2023-11-30,147838.86,26610.99,174449.84999999998
89e3aeaa99c84034a1ef3ac22ddb1ed8,30ABCDE4512F1Z845,16ABCDE2783F1Z11,INV-4100,2023-08-08,446651.98,80397.36,527049.34
8efe916c043e470d86c71ea2751ea654,19ABCDE3449F1Z456,26ABCDE1891F1Z14,INV-4130,2023-12-10,93884.92,16899.29,110784.20999999999
8ed678c0a9494876b4123210a58b1545,31ABCDE9122F1Z398,35ABCDE5420F1Z38,INV-4205,2023-05-12,201937.17,36348.69,238285.86000000002
4d17c627c8df4c809b48a27e823342df,22ABCDE1168F1Z1110,29ABCDE7299F1Z30,INV-4233,2023-09-09,342793.49,61702.83,404496.32
d605f1967ad34f61b55d3cf1af3d6b42,29ABCDE9837F1Z244,13ABCDE3199F1Z27,INV-4292,2023-12-17,329987.96,59397.83,389385.79000000004
c65309d0edc64eb5b5ce2b220721c000,20ABCDE4908F1Z1093,13ABCDE3199F1Z27,INV-4310,2023-05-31,244120.12,43941.62,288061.74
fab28645fdc04501861a8f406b3dd177,17ABCDE9303F1Z58,29ABCDE3989F1Z31,INV-4345,2023-06-21,155622.09,28011.98,183634.07
628e530ed8d34ca7a1c850bf14148bee,22ABCDE5239F1Z328,23ABCDE9697F1Z23,INV-4364,2023-11-25,392076.84,70573.83,462650.67000000004
9b818c5d4b884acf9cb96a60ae116a80,07BBBBB1159B1Z265,27ABCDE6878F1Z44,INV-4405,2024-01-15,128205.05,23076.91,151281.96
1781c808e6794999a4ad2de48b88e846,10ABCDE7755F1Z322,25ABCDE1216F1Z7,INV-4408,2023-06-13,303527.09,54634.88,358161.97000000003
39ef2bbd2f624a289a04cb557e000b96,07BBBBB5190B1Z443,29ABCDE1885F1Z37,INV-4421,2023-05-20,238606.55,42949.18,281555.73
b19d9f9959cc4535a9fde5fc9dd8ec70,07BBBBB3059B1Z205,20ABCDE8432F1Z5,INV-4470,2023-04-23,291251.37,52425.25,343676.62
510e3cdc25b746db8eab7a1d16a92c4f,33ABCDE4695F1Z1028,18ABCDE3334F1Z13,INV-4471,2023-08-17,372356.77,67024.22,439380.99
705bdba444ec416e87a8c627e3bff93a,35ABCDE5714F1Z331,26ABCDE7298F1Z10,INV-4495,2024-01-05,242947.98,43730.64,286678.62
68c55d491b4a487199406ac29c00f985,20ABCDE3438F1Z283,36ABCDE7412F1Z22,INV-4561,2024-01-24,201968.34,36354.3,238322.64
7f1edbe368b94385872834fb90f75ef0,19ABCDE6366F1Z907,35ABCDE9331F1Z9,INV-4577,2023-10-18,430416.42,77474.96,507891.38
496a4492cbf9458d85672e8d78585308,18ABCDE4534F1Z392,22ABCDE6648F1Z3,INV-4654,2023-06-29,158552.38,28539.43,187091.81
624741e090c44b0bba913d755b19e636,33ABCDE1229F1Z1152,16ABCDE8074F1Z40,INV-4694,2023-07-15,81157.51,14608.35,95765.86
394d982645e04e35be056726d2dea3ae,07BBBBB7054B1Z216,18ABCDE3334F1Z13,INV-4698,2023-11-15,462313.99,83216.52,545530.51
ad2056444b9943248b1b962beb764fbe,11ABCDE1137F1Z488,27ABCDE6878F1Z44,INV-4715,2023-12-25,298050.71,53649.13,351699.84
48d0b91a8cd849eca496fa6ccaf9a73b,14ABCDE3531F1Z258,17ABCDE6687F1Z19,INV-4746,2023-07-22,456948.86,82250.79,539199.65
f4db232555244b6598816a4388693e4e,07BBBBB7555B1Z124,26ABCDE4287F1Z21,INV-4789,2023-05-02,82178.32,14792.1,96970.42000000001
1d6cdf90950f437db1c6ac39cf444d2d,18ABCDE3780F1Z742,12ABCDE2824F1Z29,MISSPELLED-123,2023-07-15,418756.59,75376.19,494132.78
6572ecdf742d4fecbbe93567e5ee3645,31ABCDE1837F1Z990,29ABCDE7299F1Z30,INV-4878,2023-04-04,362294.63,65213.03,427507.66000000003
24ed60d375a34786b914edb6aec11bb1,20ABCDE6941F1Z298,14ABCDE4898F1Z43,INV-4881,2023-06-21,103792.94,18682.73,122475.67
50b95eb3b3c742e0aef44eab8ea825b9,07BBBBB8917B1Z380,22ABCDE6648F1Z3,INV-4899,2023-06-29,468334.76,84300.26,552635.02
b3972f314eec40a4a1a30abc222ecb96,15ABCDE5502F1Z1046,26ABCDE1891F1Z14,INV-4901,2023-06-24,112649.45,20276.9,132926.35
fa4e4e91a2284ce981356a0b4c098ae2,07BBBBB6647B1Z114,29ABCDE1885F1Z37,INV-4919,2023-11-13,477889.61,86020.13,563909.74
b70df3f300574299abb60ef0161ecabc,25ABCDE4372F1Z998,20ABCDE8432F1Z5,INV-4979,2023-08-16,377388.26,67929.89,445318.15
c66bac5ab5f844888366632768b6f9fb,13ABCDE7151F1Z470,12ABCDE9263F1Z12,INV-5009,2023-05-12,110548.43,19898.72,130447.15
2d7c4860d20646f29e08d3c416b2d9d5,20ABCDE3438F1Z283,35ABCDE5420F1Z38,INV-5098,2023-09-23,456034.41,82086.19,538120.6
b723227c6b3e456f82fea7f0a533e06b,24ABCDE2581F1Z1171,31ABCDE8067F1Z20,INV-5183,2023-12-28,115830.02,20849.4,136679.42
13dd5211c69f441f89536b1f4de549a4,21ABCDE1160F1Z451,32ABCDE7693F1Z8,INV-5191,2024-01-22,355378.57,63968.14,419346.71
07faac83b4924b5e9899e931a13724d8,16ABCDE6562F1Z567,36ABCDE7412F1Z22,INV-5204,2023-09-17,406419.14,73155.45,479574.59
66e14ec9f7bb48f19da5345e71453d48,11ABCDE9096F1Z1057,18ABCDE1814F1Z2,INV-5229,2023-12-03,115625.87,20812.66,136438.53
858e083c74fc43e2b45fbdda6ac8fc6e,23ABCDE1863F1Z1170,33ABCDE6274F1Z1,INV-5265,2023-09-17,236355.48,42543.99,278899.47000000003
503bbb6233d84269b4c5380f93d25f3c,07BBBBB6853B1Z322,18ABCDE9015F1Z48,INV-5266,2023-10-16,275909.37,49663.69,325573.06
1023019964514efea6c74fe08c2df6ea,14ABCDE5687F1Z126,35ABCDE9331F1Z9,INV-5301,2023-09-10,169359.73,30484.75,199844.48
354599e406de41aeb66a75c06ae05c5c,15ABCDE8314F1Z1119,33ABCDE6274F1Z1,INV-5327,2023-08-30,427321.18,76917.81,504238.99
8349440560b043f596fd27962101f5ef,07BBBBB9864B1Z426,33ABCDE6704F1Z39,INV-5338,2023-06-25,317157.53,57088.36,374245.89
9cb2d344f9254d1e9c36f617d3b57909,16ABCDE5248F1Z978,21ABCDE9896F1Z45,INV-5373,2023-04-29,404277.17,72769.89,477047.06
c15a1b01f8784b9aa8ed17206686f22c,14ABCDE2846F1Z566,12ABCDE9263F1Z12,INV-5406,2023-12-09,332402.42,59832.44,392234.86
e36bab29a8d34847aef7f5e8663ece5d,27ABCDE1740F1Z236,33ABCDE6274F1Z1,INV-5430,2023-04-15,483932.24,87107.8,571040.04
c182a9be40c9404db4f9cc976f69b3e7,07BBBBB1539B1Z498,29ABCDE7299F1Z30,INV-5433,2023-08-17,221337.75,39840.79,261178.54
dc950e6d1c4948f488f34b0951278542,30ABCDE4684F1Z830,15ABCDE2773F1Z41,INV-5438,2024-01-21,196557.06,35380.27,231937.33
4ec201fd6d9342cd9f41c543ab131d23,29ABCDE7299F1Z30,23ABCDE9697F1Z23,INV-5467,2023-06-05,298377.89,53708.02,352085.91000000003
8084028a0975404d8233cfb1efbba2c0,23ABCDE1961F1Z868,22ABCDE6648F1Z3,INV-5492,2023-06-26,52901.07,9522.19,62423.26
fcc32daf8b414f20bbbaf7c181f99b1e,11ABCDE9454F1Z335,12ABCDE9263F1Z12,INV-5493,2023-10-20,62120.2,11181.64,73301.84
d720b573003c4ba5ab2a6ee0248def0d,19ABCDE6366F1Z907,27ABCDE6878F1Z44,INV-5498,2023-06-30,53638.44,9654.92,63293.36
ba953981ec1c4661b2c35da409d6046d,29ABCDE8917F1Z909,18ABCDE1814F1Z2,INV-5576,2023-04-24,216874.53,39037.42,255911.95
3f5f35b93ea744f39d54cb7d6c852900,15ABCDE6330F1Z904,24ABCDE5728F1Z16,INV-5579,2023-06-19,332087.31,59775.72,391863.03
3e8c1f8eb1464c89a8256f0aa9c9e37f,30ABCDE3864F1Z976,35ABCDE9331F1Z9,INV-5614,2023-10-25,55916.88,10065.04,65981.92
b014c73a7d0a442a915bce42b5c7e17e,31ABCDE1569F1Z1142,32ABCDE7693F1Z8,INV-5681,2023-08-16,57800.11,10404.02,68204.13
b5c4f172465f4f4a987dc801fd064bd1,29ABCDE3989F1Z31,25ABCDE1216F1Z7,INV-5695,2023-09-14,332905.32,59922.96,392828.28
b5fe7ff6297b426fb0427e2be364dcbe,13ABCDE2951F1Z354,25ABCDE1216F1Z7,INV-5720,2024-01-06,422414.03,76034.53,498448.56000000006
25bbfa00e2e74d52af30b865ff9252f0,27ABCDE2953F1Z388,20ABCDE9440F1Z34,INV-5732,2023-08-07,416521.38,74973.85,491495.23
656dae5967e84b39bc3f20488ec6cc4c,34ABCDE8159F1Z965,13ABCDE1278F1Z36,INV-5756,2023-08-08,289984.03,52197.13,342181.16000000003
5ffee9bde69e43eca8796bb019cdcd6a,26ABCDE2287F1Z1104,35ABCDE9331F1Z9,INV-5837,2023-07-08,385185.72,69333.43,454519.14999999997
47161f76623f4c4db5bbe225e56df2a6,16ABCDE5979F1Z1026,26ABCDE7298F1Z10,INV-5946,2023-10-10,139450.3,25101.05,164551.34999999998
9b57e1497abc437ea8c21bb76c49de4b,25ABCDE1666F1Z738,14ABCDE4898F1Z43,INV-5949,2023-07-02,438407.54,78913.36,517320.89999999997
f952d6945d374e49a58bae9b6f930299,23ABCDE6728F1Z1070,25ABCDE1216F1Z7,INV-5953,2023-07-14,128139.29,23065.07,151204.36
0ceca3ade9d24f45a275d4da0a8aa6c4,31ABCDE7167F1Z32,12ABCDE9263F1Z12,INV-5971,2023-06-24,337452.31,60741.42,398193.73
c5e733b30f05459193902564120aeafb,27ABCDE7883F1Z1103,23ABCDE9697F1Z23,INV-6015,2023-11-18,364311.86,65576.13,429887.99
c5cae9137ae84efa8052075f261da8fa,29ABCDE9226F1Z229,29ABCDE3989F1Z31,INV-6023,2023-07-01,385304.31,69354.78,454659.08999999997
6290b0570d4a4b5ea6e7003fc073a98f,23ABCDE6545F1Z922,17ABCDE6687F1Z19,INV-6029,2023-07-03,493233.88,88782.1,582015.98
ec7f8d7aa10d44c5a47b955ca113eae7,32ABCDE6645F1Z67,18ABCDE3334F1Z13,MISSPELLED-123,2023-11-04,85542.98,15395.94,100928.92
10ec83be7d3c45ee844847e77bc51fb7,10ABCDE4034F1Z534,21ABCDE9896F1Z45,INV-6075,2023-07-24,102974.09,18535.34,121509.43
bc325fdc54e5484480b3d731cb6b55dc,29ABCDE9884F1Z374,35ABCDE4671F1Z18,INV-6109,2023-11-13,188332.05,33899.77,222231.81999999998
a6f68650e13e4c4f878a25463f0fd58e,21ABCDE1042F1Z1086,35ABCDE6794F1Z24,INV-6121,2023-06-25,407844.26,73411.97,481256.23
78c5b0aedc3143f48b6c6c4116326e42,25ABCDE6399F1Z97,26ABCDE4287F1Z21,INV-6122,2023-10-22,84785.06,15261.31,100046.37
8cfe133a7260466eb2238692226cb1b5,30ABCDE8231F1Z639,16ABCDE8074F1Z40,INV-6176,2023-08-02,250624.83,45112.47,295737.3
bf65f81a7391497cb66ddc08215baf98,28ABCDE3737F1Z608,18ABCDE9015F1Z48,INV-6205,2023-07-10,434835.13,78268.52,513093.65
e83e3deea25d4a2884d7d76d0bedb16e,21ABCDE6211F1Z786,13ABCDE1278F1Z36,INV-6301,2023-11-01,249729.39,44951.29,294680.68
c697f3c53cb644b789fff38f34953b17,27ABCDE3598F1Z728,16ABCDE2783F1Z11,INV-6309,2023-08-15,159000.9,28620.16,187621.06
5111bb06c59e49a9a63a332887208799,27ABCDE3598F1Z728,11ABCDE5920F1Z25,INV-6342,2023-12-01,284052.56,51129.46,335182.02
058134d1a9254f7d9f525df25a8d5ae0,28ABCDE4010F1Z917,25ABCDE8939F1Z26,INV-6356,2023-11-04,118975.35,21415.56,140390.91
8b079f9025774b0b85a176ce168e6e18,28ABCDE4010F1Z917,32ABCDE7693F1Z8,MISSPELLED-123,2024-01-11,377598.66,67967.76,445566.42
e6e729f214214dba87d41b0109f0614b,07BBBBB7927B1Z468,33ABCDE6274F1Z1,INV-6373,2023-10-09,191276.54,34429.78,225706.32
3d2445fe3cd543bbbc1fc1622d75307f,23ABCDE7990F1Z475,13ABCDE1278F1Z36,INV-6409,2023-07-07,422510.81,76051.95,498562.76
9dca1314131b43dfb9c365130e06837e,33ABCDE6633F1Z631,31ABCDE4676F1Z28,INV-6463,2023-10-28,315743.06,56833.75,372576.81
