EwbNo,DocNo,VehicleNo,Distance
517396209589,INV-1092,TS09AB2759,18
226497227606,INV-1093,TS09AB4414,10
434422268762,INV-1094,TS09AB4274,469
975899097198,INV-1095,TS09AB3803,925
846797889122,INV-1096,TS09AB1949,360
827372409011,INV-1097,TS09AB3915,368
811463960898,INV-1099,TS09AB1274,739
446338967915,INV-1100,TS09AB9238,844
383814302246,INV-1101,TS09AB8750,619
911606142456,INV-1102,TS09AB7407,565
163046235890,INV-1103,TS09AB7384,994
243956021446,INV-1104,TS09AB4972,370
287472089398,INV-1105,TS09AB3765,550
151574138188,INV-1106,TS09AB4712,399
887559503487,INV-1107,TS09AB9752,323
124589426125,INV-1108,TS09AB3229,567
230338302658,INV-1109,TS09AB3491,841
618688092762,INV-1111,TS09AB6111,272
359196837189,INV-1112,TS09AB3182,934
851227144770,INV-1113,TS09AB1468,85
788613048101,INV-1114,TS09AB9126,405
628721119295,INV-1115,TS09AB5388,376
746572911398,INV-1116,TS09AB2698,829
605071081252,INV-1117,TS09AB7808,452
723101287951,INV-1118,TS09AB3909,271
719805822406,INV-1119,TS09AB6184,488
566388904348,INV-1120,TS09AB7554,552
547184491855,INV-1121,TS09AB7098,831
808304819680,INV-1123,TS09AB4776,898
462324261771,INV-1124,TS09AB8293,558
702766849686,INV-1125,TS09AB1977,181
655411198162,INV-1126,TS09AB6784,135
599097487678,INV-1128,TS09AB8539,752
118002292031,INV-1129,TS09AB4532,662
447188719244,INV-1130,TS09AB1667,770
475780414488,INV-1131,TS09AB6898,504
402742832145,INV-1132,TS09AB2510,523
434218678779,INV-1133,TS09AB3101,785
798162231264,INV-1134,TS09AB2517,969
373883242650,INV-1135,TS09AB3286,103
850038440677,INV-1136,TS09AB9670,856
936437879742,INV-1137,TS09AB1499,839
529901737456,INV-1138,TS09AB9010,457
654472839544,INV-1140,TS09AB4292,822
706282847779,INV-1141,TS09AB5226,562
994908440413,INV-1142,TS09AB7497,769
903067218972,INV-1143,TS09AB9609,24
345315503514,INV-1144,TS09AB9711,575
868098250718,INV-1145,TS09AB1746,763
437017894834,INV-1146,TS09AB9526,185
989275008494,INV-1148,TS09AB9232,813
746960378519,INV-1149,TS09AB1350,880
128561500930,INV-1150,TS09AB8522,890
235900967789,INV-1151,TS09AB7134,951
670638788711,INV-1152,TS09AB3346,246
123856113022,INV-1153,TS09AB3278,265
991468217710,INV-1154,TS09AB7160,975
610709768509,INV-1155,TS09AB6094,679
438017752176,INV-1156,TS09AB2553,503
824984929986,INV-1159,TS09AB2837,910
231409766859,INV-1160,TS09AB7609,783
762703287084,INV-1161,TS09AB8924,122
111680803227,INV-1162,TS09AB4822,773
181255107179,INV-1163,TS09AB4811,419
478654080718,INV-1164,TS09AB2187,676
127686955261,INV-1165,TS09AB6449,684
369869202588,INV-1166,TS09AB4385,925
119959202992,INV-1167,TS09AB7437,581
295241191984,INV-1168,TS09AB1696,682
713533449055,INV-1170,TS09AB8098,274
353311549440,INV-1171,TS09AB1772,404
172239884860,INV-1172,TS09AB6468,332
119562826028,INV-1173,TS09AB4177,312
350016944678,INV-1174,TS09AB4773,33
957064555020,INV-1175,TS09AB2770,556
165695195944,INV-1176,TS09AB5064,687
956188795933,INV-1177,TS09AB2841,104
599287727879,INV-1178,TS09AB7570,387
347729604669,INV-1179,TS09AB6500,75
264363169936,INV-1180,TS09AB8231,851
290892686005,INV-1181,TS09AB4256,590
171672027557,INV-1182,TS09AB3833,580
629035793166,INV-1183,TS09AB9880,303
689977056726,INV-1184,TS09AB2823,656
977648771732,INV-1185,TS09AB9543,885
475865894576,INV-1188,TS09AB1347,247
634161031826,INV-1190,TS09AB5708,920
367169409244,INV-1191,TS09AB7045,552
830230304326,INV-1192,TS09AB8719,275
609650249710,INV-1193,TS09AB7284,558
201545919507,INV-1194,TS09AB4652,644
414993280762,INV-1195,TS09AB9770,123
510324329523,INV-1196,TS09AB7834,450
768650310302,INV-1197,TS09AB1961,604
377126499223,INV-1198,TS09AB9710,39
249898921088,INV-1200,TS09AB8419,413
895172958710,INV-1202,TS09AB6593,777
486687093651,INV-1204,TS09AB9526,532
251799793090,INV-1205,TS09AB6852,980
612217632451,INV-1206,TS09AB7212,600
368540908021,INV-1207,TS09AB4368,842
105253670880,INV-1208,TS09AB6299,864
788945690023,INV-1209,TS09AB9757,923
573163524488,INV-1210,TS09AB5595,82
895272677320,INV-1211,TS09AB2509,962
446399417133,INV-1212,TS09AB2694,737
371311335887,INV-1213,TS09AB3281,786
317441629813,INV-1215,TS09AB4109,630
637501293235,INV-1216,TS09AB6484,659
736667847620,INV-1217,TS09AB1917,300
107565309501,INV-1218,TS09AB9358,140
979913467349,INV-1219,TS09AB8674,22
815530764964,INV-1220,TS09AB3413,812
865386006384,INV-1221,TS09AB4697,872
921010359344,INV-1222,TS09AB8908,919
230667400156,INV-1223,TS09AB5456,510
792438980372,INV-1224,TS09AB7081,503
225628437515,INV-1225,TS09AB1720,85
461139360595,INV-1226,TS09AB2244,690
997459179093,INV-1227,TS09AB8193,289
514584249369,INV-1228,TS09AB7748,631
906270535330,INV-1229,TS09AB9033,155
192664399096,INV-1230,TS09AB1629,776
918840804661,INV-1231,TS09AB2933,999
629622489046,INV-1232,TS09AB7164,392
412563992873,INV-1233,TS09AB5150,807
458873906448,INV-1234,TS09AB5364,631
309846104666,INV-1235,TS09AB6195,222
415261238500,INV-1236,TS09AB1372,293
700113730189,INV-1237,TS09AB4578,750
196189850236,INV-1238,TS09AB9289,824
809593956500,INV-1239,TS09AB1626,883
352014025969,INV-1240,TS09AB1806,849
489877488411,INV-1241,TS09AB1082,996
205590137867,INV-1242,TS09AB1728,236
256122924656,INV-1244,TS09AB5630,584
505831306036,INV-1245,TS09AB5989,910
224937446570,INV-1246,TS09AB2254,683
651012546348,INV-1247,TS09AB6527,554
707133340032,INV-1248,TS09AB1371,947
409619454751,INV-1250,TS09AB5867,525
752021803413,INV-1251,TS09AB4655,374
419663054709,INV-1252,TS09AB3212,707
314695851281,INV-1253,TS09AB4975,351
262321505342,INV-1254,TS09AB3347,351
913596601908,INV-1255,TS09AB5740,522
364050475537,INV-1256,TS09AB4909,325
215352390619,INV-1257,TS09AB2696,831
352728834630,INV-1258,TS09AB2845,187
224041082037,INV-1259,TS09AB7514,221
167302822566,INV-1260,TS09AB2815,849
792256314719,INV-1261,TS09AB9138,751
745651490801,INV-1262,TS09AB7980,295
760401794053,INV-1263,TS09AB6481,23
499995663930,INV-1264,TS09AB5158,142
615279221824,INV-1266,TS09AB8192,13
124809723033,INV-1268,TS09AB5692,724
844483696524,INV-1271,TS09AB5272,844
957494159639,INV-1272,TS09AB6634,876
853623906887,INV-1273,TS09AB4368,451
156202242096,INV-1274,TS09AB3645,265
394555082089,INV-1275,TS09AB7294,537
984320658763,INV-1276,TS09AB6975,268
238186863014,INV-1277,TS09AB1844,860
287209747927,INV-1278,TS09AB3502,154
925591060882,INV-1279,TS09AB5362,620
280577435226,INV-1280,TS09AB6588,709
432784164508,INV-1281,TS09AB9362,879
123977832400,INV-1282,TS09AB2325,478
471593477139,INV-1283,TS09AB3772,906
865336581229,INV-1284,TS09AB3740,809
480610156766,INV-1285,TS09AB9366,806
538205375057,INV-1286,TS09AB7524,265
439826819891,INV-1287,TS09AB1615,36
625632772548,INV-1288,TS09AB1983,832
736899115348,INV-1289,TS09AB5572,319
570253407941,INV-1290,TS09AB3387,78
832451798089,INV-1291,TS09AB8814,961
132264060757,INV-1292,TS09AB4276,781
504691633846,INV-1293,TS09AB8078,704
949289020339,INV-1294,TS09AB5878,440
870842387114,INV-1295,TS09AB2445,26
979554921189,INV-1296,TS09AB3524,286
304559277757,INV-1298,TS09AB3696,770
306621266551,INV-1299,TS09AB1446,335
991148617905,INV-1300,TS09AB9321,375
636384493078,INV-1301,TS09AB9869,106
409601319578,INV-1302,TS09AB1586,498
318737227633,INV-1303,TS09AB2840,454
495678755051,INV-1305,TS09AB1538,419
815655787772,INV-1306,TS09AB3933,477
461820367068,INV-1307,TS09AB8630,495
186155084969,INV-1308,TS09AB1784,914
949978047772,INV-1310,TS09AB8057,929
737627983672,INV-1311,TS09AB1813,79
249558251184,INV-1312,TS09AB4679,53
104144262320,INV-1313,TS09AB8945,290
200121651767,INV-1314,TS09AB6039,59
206343323771,INV-1315,TS09AB3824,799
912525576940,INV-1316,TS09AB6112,633
817232908585,INV-1319,TS09AB8989,740
278008312780,INV-1320,TS09AB7615,939
737523702349,INV-1321,TS09AB6990,14
938770707657,INV-1322,TS09AB5274,505
692346442225,INV-1323,TS09AB9664,579
860709987760,INV-1324,TS09AB7594,368
689597106144,INV-1325,TS09AB5462,57
199685443937,INV-1326,TS09AB3889,649
647414805417,INV-1327,TS09AB8809,422
251434775019,INV-1328,TS09AB8682,362
375963672398,INV-1329,TS09AB9488,86
980383857220,INV-1330,TS09AB6841,760
220574772684,INV-1331,TS09AB2418,104
685032109689,INV-1332,TS09AB6159,46
432217020332,INV-1333,TS09AB4812,403
870376950462,INV-1334,TS09AB8996,660
395905193754,INV-1336,TS09AB1003,770
631200581292,INV-1337,TS09AB5551,17
743760982916,INV-1338,TS09AB2231,406
471595977020,INV-1341,TS09AB9864,752
217363041357,INV-1342,TS09AB6518,469
828587275657,INV-1343,TS09AB1761,458
427531771990,INV-1344,TS09AB6104,895
172138650299,INV-1345,TS09AB7808,651
940570339178,INV-1347,TS09AB5007,859
878937038827,INV-1348,TS09AB5257,552
229192269709,INV-1349,TS09AB7583,577
760547096218,INV-1350,TS09AB2985,515
118729773909,INV-1352,TS09AB3162,594
660247668332,INV-1353,TS09AB8410,877
918866840445,INV-1354,TS09AB7645,981
729139741328,INV-1356,TS09AB9457,587
879753563377,INV-1357,TS09AB1577,707
456111248880,INV-1358,TS09AB3932,183
876024228620,INV-1359,TS09AB4847,994
595033095346,INV-1360,TS09AB8765,769
624128015061,INV-1361,TS09AB4060,107
505149699053,INV-1362,TS09AB8272,839
578709804015,INV-1363,TS09AB6558,187
718893314400,INV-1364,TS09AB1103,375
544685719974,INV-1366,TS09AB4044,434
347507930304,INV-1368,TS09AB1453,651
450606525447,INV-1369,TS09AB5452,720
234580458101,INV-1370,TS09AB9299,588
364554403684,INV-1371,TS09AB6884,951
857177201711,INV-1373,TS09AB2394,656
259140513542,INV-1374,TS09AB3057,700
703349518469,INV-1375,TS09AB1094,759
842025347353,INV-1376,TS09AB8540,770
651628328284,INV-1377,TS09AB7274,857
896488639896,INV-1378,TS09AB7785,561
246542987937,INV-1379,TS09AB1906,182
620009832196,INV-1380,TS09AB7918,214
420805484590,INV-1381,TS09AB9577,996
205312244717,INV-1382,TS09AB6927,24
919820750730,INV-1383,TS09AB2914,721
557355029215,INV-1384,TS09AB3993,965
790698444432,INV-1385,TS09AB4532,902
179683105286,INV-1386,TS09AB2534,400
207485762569,INV-1387,TS09AB9823,880
935035255920,INV-1388,TS09AB5794,887
557679059819,INV-1389,TS09AB3534,247
607905256703,INV-1390,TS09AB1327,250
864801864964,INV-1391,TS09AB4261,385
769860157486,INV-1392,TS09AB5270,57
510313127328,INV-1393,TS09AB1969,47
891947880859,INV-1394,TS09AB9002,934
738528495657,INV-1395,TS09AB3286,821
216345137636,INV-1397,TS09AB9008,43
911600446538,INV-1398,TS09AB4393,787
624436687691,INV-1399,TS09AB2598,927
829150598935,INV-1400,TS09AB5200,667
366674367569,INV-1402,TS09AB8792,549
103874337478,INV-1404,TS09AB8437,450
747423120434,INV-1405,TS09AB9985,104
985796688773,INV-1406,TS09AB5330,360
495178293774,INV-1407,TS09AB4426,84
170781091418,INV-1408,TS09AB3936,460
411754141859,INV-1409,TS09AB9193,52
460137627196,INV-1410,TS09AB4322,402
350681235893,INV-1411,TS09AB3325,907
344811239240,INV-1412,TS09AB7290,653
495376727418,INV-1413,TS09AB7970,329
980255213151,INV-1415,TS09AB1314,690
789197264405,INV-1417,TS09AB2929,731
881722444382,INV-1418,TS09AB2636,640
800321418547,INV-1419,TS09AB8801,244
122838008476,INV-1420,TS09AB1089,786
299351831466,INV-1421,TS09AB6235,999
939832319027,INV-1422,TS09AB6710,711
104428389242,INV-1423,TS09AB1466,463
981760624298,INV-1424,TS09AB2770,262
450016769922,INV-1425,TS09AB1516,637
408297190944,INV-1426,TS09AB2656,937
312265285959,INV-1427,TS09AB5223,426
435345645999,INV-1428,TS09AB2726,308
658729869079,INV-1429,TS09AB4500,774
262916799491,INV-1431,TS09AB4155,229
411820144612,INV-1433,TS09AB9124,88
263206526528,INV-1434,TS09AB5882,725
185618172589,INV-1437,TS09AB3339,812
947708844745,INV-1439,TS09AB2162,877
257719156831,INV-1440,TS09AB6520,817
267786308234,INV-1441,TS09AB2365,296
298542039558,INV-1442,TS09AB8766,927
717456510879,INV-1443,TS09AB9472,367
798741221786,INV-1444,TS09AB7904,123
644998063914,INV-1445,TS09AB9329,276
424266192559,INV-1446,TS09AB3504,385
270742230829,INV-1447,TS09AB2747,609
202795201702,INV-1448,TS09AB1426,438
256065790150,INV-1450,TS09AB1540,401
171565254981,INV-1451,TS09AB4549,564
549020220503,INV-1452,TS09AB8604,121
102993671736,INV-1453,TS09AB4240,483
329463986789,INV-1454,TS09AB5031,353
589257251422,INV-1455,TS09AB3703,747
103258903744,INV-1456,TS09AB4098,914
583481515147,INV-1457,TS09AB4108,606
915467765132,INV-1458,TS09AB1053,753
282495795529,INV-1459,TS09AB6434,869
307283922874,INV-1460,TS09AB4629,905
308477243700,INV-1461,TS09AB3155,169
334621031901,INV-1462,TS09AB3448,317
655936068094,INV-1463,TS09AB6525,94
775183493586,INV-1464,TS09AB2169,211
601958853824,INV-1465,TS09AB4806,687
442595510611,INV-1466,TS09AB4685,318
252123834715,INV-1467,TS09AB1009,835
464490978009,INV-1468,TS09AB8506,874
821074563813,INV-1469,TS09AB6063,523
609974487282,INV-1470,TS09AB1087,758
998381620654,INV-1471,TS09AB6436,429
589437679148,INV-1472,TS09AB7700,541
469992899357,INV-1473,TS09AB9507,87
402849261483,INV-1474,TS09AB9673,425
160970221593,INV-1475,TS09AB6688,720
433050554406,INV-1476,TS09AB1319,669
382005355695,INV-1477,TS09AB7405,473
591093026452,INV-1478,TS09AB4910,558
722797411688,INV-1479,TS09AB8740,986
330886728828,INV-1482,TS09AB4161,877
189609926395,INV-1483,TS09AB2014,14
628728116784,INV-1484,TS09AB1275,86
163452225921,INV-1485,TS09AB4794,441
350709237917,INV-1486,TS09AB2494,114
847517556339,INV-1488,TS09AB9187,949
414657314681,INV-1489,TS09AB8756,33
869140836904,INV-1490,TS09AB5209,211
474770740742,INV-1493,TS09AB7283,577
949490492053,INV-1495,TS09AB1511,425
351143088889,INV-1496,TS09AB1989,990
266893632378,INV-1497,TS09AB9889,271
755706807677,INV-1498,TS09AB7637,797
747893118237,INV-1500,TS09AB6326,840
842101839668,INV-1502,TS09AB2897,901
215320275033,INV-1503,TS09AB1881,192
436597114636,INV-1504,TS09AB6444,167
654145175106,INV-1505,TS09AB6794,390
359313225589,INV-1506,TS09AB9590,154
188362501264,INV-1507,TS09AB6008,628
279605458473,INV-1508,TS09AB2211,359
798603634925,INV-1509,TS09AB8014,905
713046579063,INV-1510,TS09AB6029,198
986208281375,INV-1511,TS09AB7371,219
573846455783,INV-1512,TS09AB4973,501
809332563515,INV-1513,TS09AB4229,340
173622911468,INV-1515,TS09AB2260,970
627518870528,INV-1516,TS09AB3574,818
140019350900,INV-1517,TS09AB2226,463
797181241602,INV-1518,TS09AB6264,438
271691882363,INV-1520,TS09AB4500,637
746070186397,INV-1521,TS09AB2328,151
839094287067,INV-1522,TS09AB7751,616
710548597358,INV-1524,TS09AB4483,490
950135349456,INV-1525,TS09AB5985,592
463246122535,INV-1526,TS09AB5178,400
646568324538,INV-1528,TS09AB2197,475
666389604501,INV-1529,TS09AB4815,949
197611580949,INV-1531,TS09AB8539,444
907707996583,INV-1532,TS09AB3624,955
143596050128,INV-1533,TS09AB7783,555
947749295107,INV-1535,TS09AB4944,733
526876464276,INV-1536,TS09AB5553,311
201518793392,INV-1537,TS09AB8609,623
162952814350,INV-1538,TS09AB7674,59
113045377470,INV-1539,TS09AB1198,381
724890128822,INV-1540,TS09AB8294,978
492038647059,INV-1541,TS09AB1245,553
752614193524,INV-1542,TS09AB6860,998
805557845515,INV-1543,TS09AB2868,390
270968579453,INV-1544,TS09AB2794,965
895685500205,INV-1545,TS09AB5349,624
536922618613,INV-1547,TS09AB4177,569
786957758299,INV-1548,TS09AB3823,873
265118718601,INV-1549,TS09AB4210,144
674813543193,INV-1550,TS09AB2250,860
664867742961,INV-1551,TS09AB3992,778
270937318627,INV-1552,TS09AB2331,403
241042862577,INV-1553,TS09AB3399,651
871092648235,INV-1554,TS09AB5002,775
901755830809,INV-1555,TS09AB1230,936
383161043830,INV-1556,TS09AB8236,114
224779399156,INV-1558,TS09AB6501,767
789486064972,INV-1559,TS09AB1708,725
554099498727,INV-1560,TS09AB1826,376
685154214087,INV-1561,TS09AB1841,103
370416002672,INV-1562,TS09AB8750,661
877603017116,INV-1563,TS09AB9904,346
828696687983,INV-1564,TS09AB1614,43
510729652661,INV-1565,TS09AB5696,631
397239643933,INV-1566,TS09AB9903,498
174870675577,INV-1567,TS09AB7572,680
818509589759,INV-1568,TS09AB6040,283
882218513960,INV-1570,TS09AB1897,538
290192839229,INV-1571,TS09AB8083,632
577028350006,INV-1572,TS09AB4338,801
847304206661,INV-1573,TS09AB9232,921
127771678834,INV-1574,TS09AB3609,413
978503871120,INV-1575,TS09AB1045,479
688621716837,INV-1576,TS09AB2411,245
760199554482,INV-1577,TS09AB3107,426
477126927031,INV-1578,TS09AB9840,499
596313392187,INV-1580,TS09AB7513,867
274770531782,INV-1582,TS09AB1464,843
676676008945,INV-1583,TS09AB2253,438
561984755654,INV-1584,TS09AB5949,540
361013357663,INV-1585,TS09AB1914,784
176965711585,INV-1586,TS09AB2138,778
936786013222,INV-1587,TS09AB6811,344
327572825449,INV-1588,TS09AB6876,776
601199223481,INV-1589,TS09AB2804,459
979106967806,INV-1590,TS09AB8554,396
652219649070,INV-1591,TS09AB9719,509
966969381201,INV-1592,TS09AB4135,762
843505846207,INV-1593,TS09AB2377,348
951090753239,INV-1594,TS09AB9683,388
455860892009,INV-1595,TS09AB1141,526
108462939230,INV-1596,TS09AB9819,799
232587828159,INV-1597,TS09AB9512,522
479950855310,INV-1598,TS09AB9006,776
517756569714,INV-1599,TS09AB9199,485
143657964041,INV-1600,TS09AB9906,298
428207119119,INV-1601,TS09AB1636,701
709031707265,INV-1602,TS09AB7372,910
295325363991,INV-1604,TS09AB1454,157
640653038363,INV-1605,TS09AB8212,76
971533409317,INV-1606,TS09AB3106,897
535921377771,INV-1607,TS09AB2816,939
262816854221,INV-1609,TS09AB5545,639
197904410707,INV-1610,TS09AB1316,455
636923007449,INV-1611,TS09AB9770,733
852994258801,INV-1612,TS09AB2732,705
294024262647,INV-1614,TS09AB2237,530
130749232152,INV-1615,TS09AB8481,372
556470854287,INV-1617,TS09AB7915,573
654686869632,INV-1618,TS09AB9606,219
934455241434,INV-1619,TS09AB7638,579
699790499093,INV-1620,TS09AB3328,789
639216407472,INV-1621,TS09AB5584,788
942417428479,INV-1623,TS09AB2716,906
843548479656,INV-1624,TS09AB4235,271
932924174363,INV-1625,TS09AB2779,369
852021372310,INV-1626,TS09AB6123,909
164711673742,INV-1627,TS09AB2473,731
170455992662,INV-1628,TS09AB9400,413
408107978398,INV-1629,TS09AB2982,201
789166787467,INV-1630,TS09AB7541,357
842895584056,INV-1631,TS09AB3618,856
336630709912,INV-1632,TS09AB6363,841
938987271051,INV-1633,TS09AB7488,700
798298021609,INV-1634,TS09AB4437,232
876214968971,INV-1635,TS09AB6217,175
463645476700,INV-1636,TS09AB6921,239
653006962063,INV-1637,TS09AB6107,210
341175650421,INV-1638,TS09AB3761,713
317490539513,INV-1639,TS09AB4593,327
823495558292,INV-1640,TS09AB6214,627
400845965086,INV-1641,TS09AB2780,854
910418878538,INV-1642,TS09AB2005,968
581755716867,INV-1643,TS09AB9859,909
336816746579,INV-1644,TS09AB3913,856
497259647946,INV-1645,TS09AB6457,862
780098601088,INV-1647,TS09AB9182,66
392138105782,INV-1648,TS09AB2475,988
212222184077,INV-1649,TS09AB2803,991
378647449366,INV-1652,TS09AB9005,334
801132876525,INV-1655,TS09AB7752,160
246394688305,INV-1656,TS09AB2975,253
853591426993,INV-1657,TS09AB7113,471
593390339264,INV-1658,TS09AB1228,181
899519305533,INV-1659,TS09AB2682,750
558364628673,INV-1662,TS09AB5712,521
225016041294,INV-1664,TS09AB7694,529
445036397047,INV-1665,TS09AB1208,242
755399960796,INV-1666,TS09AB5086,167
973316554258,INV-1667,TS09AB3779,602
845701035271,INV-1668,TS09AB9234,805
640860811933,INV-1669,TS09AB6972,731
467050206759,INV-1670,TS09AB6678,665
364166191550,INV-1671,TS09AB5849,704
137785975781,INV-1672,TS09AB6498,839
625729186244,INV-1674,TS09AB7756,791
946326114378,INV-1675,TS09AB7805,412
802047702028,INV-1676,TS09AB8261,352
909522757791,INV-1677,TS09AB5032,835
424004948933,INV-1678,TS09AB3159,120
500203046816,INV-1679,TS09AB6952,127
916335980747,INV-1681,TS09AB4410,316
552452805134,INV-1682,TS09AB6632,831
113506019830,INV-1684,TS09AB7156,581
241508377766,INV-1685,TS09AB4816,624
916952054703,INV-1686,TS09AB2608,170
683696909785,INV-1687,TS09AB7781,161
280169228940,INV-1688,TS09AB3465,367
506347957883,INV-1689,TS09AB8995,166
540408182929,INV-1690,TS09AB4384,329
807046216041,INV-1691,TS09AB9194,319
624229485829,INV-1692,TS09AB7255,749
261388405810,INV-1694,TS09AB1167,579
343539092624,INV-1695,TS09AB9111,29
284048792552,INV-1696,TS09AB9350,833
347898780034,INV-1697,TS09AB7627,254
735180805846,INV-1698,TS09AB3788,904
243552659896,INV-1701,TS09AB5469,930
411553495137,INV-1702,TS09AB2174,64
317102290457,INV-1703,TS09AB3178,64
379283655688,INV-1704,TS09AB9291,588
897716076987,INV-1706,TS09AB8182,56
834484335288,INV-1707,TS09AB4514,324
216824475933,INV-1708,TS09AB7312,946
538917451728,INV-1709,TS09AB5075,542
756951747257,INV-1712,TS09AB9692,717
116586498866,INV-1713,TS09AB5874,634
631303600015,INV-1714,TS09AB9971,861
713718961133,INV-1716,TS09AB1836,295
546896725036,INV-1717,TS09AB9879,627
792335202658,INV-1718,TS09AB1084,507
863181569878,INV-1719,TS09AB1652,537
172112561775,INV-1720,TS09AB8097,468
917716798512,INV-1721,TS09AB3037,458
846515327374,INV-1722,TS09AB3247,848
614544828375,INV-1723,TS09AB6520,328
191072311590,INV-1724,TS09AB1774,172
965691920701,INV-1725,TS09AB3761,201
674364943112,INV-1726,TS09AB1195,545
228043203707,INV-1727,TS09AB9401,305
231833004637,INV-1728,TS09AB3154,511
536141394418,INV-1729,TS09AB8211,300
990047334158,INV-1730,TS09AB4464,899
900879008320,INV-1731,TS09AB6002,60
389790645120,INV-1732,TS09AB4797,954
882865699613,INV-1733,TS09AB3171,952
410501905911,INV-1734,TS09AB7380,911
825673294119,INV-1735,TS09AB8937,685
997057849805,INV-1736,TS09AB1649,947
139045354217,INV-1737,TS09AB4949,937
893988108256,INV-1739,TS09AB7489,345
976282013867,INV-1741,TS09AB2179,151
335474465599,INV-1742,TS09AB9234,118
895761798242,INV-1744,TS09AB3137,265
235529385469,INV-1745,TS09AB2729,883
344460383348,INV-1747,TS09AB8349,925
444466290780,INV-1748,TS09AB1192,482
579377054476,INV-1749,TS09AB7745,199
530656805429,INV-1750,TS09AB3408,741
323226945706,INV-1751,TS09AB3417,640
328593998618,INV-1752,TS09AB2834,903
412135584675,INV-1753,TS09AB9091,249
144815832958,INV-1755,TS09AB9359,855
688590109270,INV-1757,TS09AB3561,706
233542576596,INV-1758,TS09AB8009,501
524938017095,INV-1759,TS09AB3616,602
880265795219,INV-1760,TS09AB6641,811
933156512515,INV-1761,TS09AB9053,13
772874302775,INV-1762,TS09AB9770,783
245960765568,INV-1763,TS09AB6369,41
562596119463,INV-1764,TS09AB8389,356
292368234728,INV-1766,TS09AB1090,912
757577025359,INV-1767,TS09AB2613,419
914070284655,INV-1768,TS09AB4754,786
430920084309,INV-1769,TS09AB2534,755
